"","COUNTRY","NAME_1","NAME_2","MAIZ_curr_usd_l_ph_h_hp","SORG_curr_usd_l_ph_h_hp","BEAN_curr_usd_l_ph_h_hp","CHIC_curr_usd_l_ph_h_hp","LENT_curr_usd_l_ph_h_hp","WHEA_curr_usd_l_ph_h_hp","BARL_curr_usd_l_ph_h_hp","ACOF_curr_usd_l_ph_h_hp","RCOF_curr_usd_l_ph_h_hp","PMIL_curr_usd_l_ph_h_hp","SMIL_curr_usd_l_ph_h_hp","POTA_curr_usd_l_ph_h_hp","SWPO_curr_usd_l_ph_h_hp","CASS_curr_usd_l_ph_h_hp","COWP_curr_usd_l_ph_h_hp","PIGE_curr_usd_l_ph_h_hp","SOYB_curr_usd_l_ph_h_hp","GROU_curr_usd_l_ph_h_hp","SUGC_curr_usd_l_ph_h_hp","COTT_curr_usd_l_ph_h_hp","COCO_curr_usd_l_ph_h_hp","TEAS_curr_usd_l_ph_h_hp","TOBA_curr_usd_l_ph_h_hp","MAIZ_curr_usd_l_ph_l_hp","SORG_curr_usd_l_ph_l_hp","BEAN_curr_usd_l_ph_l_hp","CHIC_curr_usd_l_ph_l_hp","LENT_curr_usd_l_ph_l_hp","WHEA_curr_usd_l_ph_l_hp","BARL_curr_usd_l_ph_l_hp","ACOF_curr_usd_l_ph_l_hp","RCOF_curr_usd_l_ph_l_hp","PMIL_curr_usd_l_ph_l_hp","SMIL_curr_usd_l_ph_l_hp","POTA_curr_usd_l_ph_l_hp","SWPO_curr_usd_l_ph_l_hp","CASS_curr_usd_l_ph_l_hp","COWP_curr_usd_l_ph_l_hp","PIGE_curr_usd_l_ph_l_hp","SOYB_curr_usd_l_ph_l_hp","GROU_curr_usd_l_ph_l_hp","SUGC_curr_usd_l_ph_l_hp","COTT_curr_usd_l_ph_l_hp","COCO_curr_usd_l_ph_l_hp","TEAS_curr_usd_l_ph_l_hp","TOBA_curr_usd_l_ph_l_hp","MAIZ_curr_usd_h_ph_h_hp","SORG_curr_usd_h_ph_h_hp","BEAN_curr_usd_h_ph_h_hp","CHIC_curr_usd_h_ph_h_hp","LENT_curr_usd_h_ph_h_hp","WHEA_curr_usd_h_ph_h_hp","BARL_curr_usd_h_ph_h_hp","ACOF_curr_usd_h_ph_h_hp","RCOF_curr_usd_h_ph_h_hp","PMIL_curr_usd_h_ph_h_hp","SMIL_curr_usd_h_ph_h_hp","POTA_curr_usd_h_ph_h_hp","SWPO_curr_usd_h_ph_h_hp","CASS_curr_usd_h_ph_h_hp","COWP_curr_usd_h_ph_h_hp","PIGE_curr_usd_h_ph_h_hp","SOYB_curr_usd_h_ph_h_hp","GROU_curr_usd_h_ph_h_hp","SUGC_curr_usd_h_ph_h_hp","COTT_curr_usd_h_ph_h_hp","COCO_curr_usd_h_ph_h_hp","TEAS_curr_usd_h_ph_h_hp","TOBA_curr_usd_h_ph_h_hp","MAIZ_curr_usd_h_ph_l_hp","SORG_curr_usd_h_ph_l_hp","BEAN_curr_usd_h_ph_l_hp","CHIC_curr_usd_h_ph_l_hp","LENT_curr_usd_h_ph_l_hp","WHEA_curr_usd_h_ph_l_hp","BARL_curr_usd_h_ph_l_hp","ACOF_curr_usd_h_ph_l_hp","RCOF_curr_usd_h_ph_l_hp","PMIL_curr_usd_h_ph_l_hp","SMIL_curr_usd_h_ph_l_hp","POTA_curr_usd_h_ph_l_hp","SWPO_curr_usd_h_ph_l_hp","CASS_curr_usd_h_ph_l_hp","COWP_curr_usd_h_ph_l_hp","PIGE_curr_usd_h_ph_l_hp","SOYB_curr_usd_h_ph_l_hp","GROU_curr_usd_h_ph_l_hp","SUGC_curr_usd_h_ph_l_hp","COTT_curr_usd_h_ph_l_hp","COCO_curr_usd_h_ph_l_hp","TEAS_curr_usd_h_ph_l_hp","TOBA_curr_usd_h_ph_l_hp","total","MAIZ_curr_usd","SORG_curr_usd","BEAN_curr_usd","CHIC_curr_usd","LENT_curr_usd","WHEA_curr_usd","BARL_curr_usd","ACOF_curr_usd","RCOF_curr_usd","PMIL_curr_usd","SMIL_curr_usd","POTA_curr_usd","SWPO_curr_usd","CASS_curr_usd","COWP_curr_usd","PIGE_curr_usd","SOYB_curr_usd","GROU_curr_usd","SUGC_curr_usd","COTT_curr_usd","COCO_curr_usd","TEAS_curr_usd","TOBA_curr_usd","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"29","Kenya","Busia","Teso North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3577200.76824907,174858.208272158,1377838.5157953,0,0,0,0,30378.485104879,0,0,2237192.00630927,10113.7548609916,1694330.43667767,1358766.24077335,19696.8479853478,0,18975.8606479464,142421.032311778,1042037.22600523,30723.7060810174,0,3786.37353632349,1374491.41332326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13092810.9,3577200.76824907,174858.208272158,1377838.5157953,0,0,0,0,30378.485104879,0,0,2237192.00630927,10113.7548609916,1694330.43667767,1358766.24077335,19696.8479853478,0,18975.8606479464,142421.032311778,1042037.22600523,30723.7060810174,0,3786.37353632349,1374491.41332326,0,0,13092810.8759336,0,13092810.9,100
"30","Kenya","Busia","Teso South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639735.37530176,229516.603942236,1408284.80541559,0,0,0,0,0,65130.7405538455,7718.46456791719,0,6209.37465360895,2529864.67521549,1503044.65823488,27747.4600795729,0,18919.5921886735,65526.9607940076,2580382.7435149,17880.4662078739,0,2218.59741967063,1269746.51111031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13371927,3639735.37530176,229516.603942236,1408284.80541559,0,0,0,0,0,65130.7405538455,7718.46456791719,0,6209.37465360895,2529864.67521549,1503044.65823488,27747.4600795729,0,18919.5921886735,65526.9607940076,2580382.7435149,17880.4662078739,0,2218.59741967063,1269746.51111031,0,0,13371927.0292003,0,13371927,100
"33","Kenya","Elgeyo-Marakwet","Marakwet East",387917.011647587,39660.7030145055,569383.482897548,0,0,8003.61674281373,0,0,0,50323.5930078388,0,7035028.09663174,0,0,0,0,0,0,0,0,0,0,506.612280076611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768795.63551436,104838.69501942,867432.148219149,0,0,5208.088303029,0,0,0,220587.929480111,0,4114444.06255555,521984.203001514,0,0,0,0,8278.35043328446,0,0,0,0,37320.4656445394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16739712.7,3156712.64716195,144499.398033926,1436815.6311167,0,0,13211.7050458427,0,0,0,270911.522487949,0,11149472.1591873,521984.203001514,0,0,0,0,8278.35043328446,0,0,0,0,37827.077924616,8090823.11622211,0,8648889.57817095,0,16739712.7,100
"34","Kenya","Elgeyo-Marakwet","Marakwet West",1277837.33707701,89933.3254106239,1208922.00429757,0,0,191938.899392089,4427.45272215276,3628.96806669249,0,65050.5786901156,0,9037469.00652574,26874.6822781009,0,0,0,14.9281835627984,251.52988430836,0,0,0,0,8607.53685104642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055512.03681238,128055.614748735,1582944.17418314,0,0,344411.115545574,14845.4189515982,1843.26306392273,0,147227.102916854,0,9629767.60810862,170467.385874606,0,0,0,44.7845491436226,3463.88959925667,2547.46311202327,0,0,0,35572.5240796301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26031658.6,3333349.37388939,217988.940159359,2791866.1784807,0,0,536350.014937663,19272.871673751,5472.23113061522,0,212277.68160697,0,18667236.6146344,197342.068152707,0,0,0,59.712732706421,3715.41948356503,2547.46311202327,0,0,0,44180.0609306765,11914956.249379,0,14116702.3815455,0,26031658.6,100
"35","Kenya","Embu","Manyatta",2912395.16947027,4407.08087357024,2562766.31203076,0,0,0,0,628360.941782012,0,0,0,3653382.11918499,0,0,0,0,0,0,0,0,0,1229454.73413105,8963.47178856658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102852.01930976,648.729164017259,1525238.87270612,53115.0105494647,9.27629826703033,0,0,631299.404429914,0,0,0,854616.117850335,88654.3307144115,3327.37651423142,1038.41236863548,70.3098667166974,135.338066203443,0,0,0,0,219910.578211897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16480645.6,5015247.18878002,5055.8100375875,4088005.18473688,53115.0105494647,9.27629826703033,0,0,1259660.34621193,0,0,0,4507998.23703532,88654.3307144115,3327.37651423142,1038.41236863548,70.3098667166974,135.338066203443,0,0,0,0,1449365.31234295,8963.47178856658,10999729.8292612,0,5480915.77604997,0,16480645.6,100
"38","Kenya","Embu","Runyenjes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603041.88653614,55815.5893470896,1610430.52086236,0,0,0,0,571452.704722829,0,19497.9849387347,0,33429.7711929927,21309.0594583171,27408.9517037134,109528.742838478,26228.4350494033,0,0,0,15669.2528296264,0,162245.63579921,239348.00145023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5495406.5,2603041.88653614,55815.5893470896,1610430.52086236,0,0,0,0,571452.704722829,0,19497.9849387347,0,33429.7711929927,21309.0594583171,27408.9517037134,109528.742838478,26228.4350494033,0,0,0,15669.2528296264,0,162245.63579921,239348.00145023,0,0,5495406.53672912,0,5495406.5,100
"46","Kenya","Homa Bay","Kabondo Kasipul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3811312.68115677,643051.469128373,179396.820803329,0,6321.9613868745,904.379159363647,0,13475.9017721344,0,558739.155901223,0,445500.309033219,173448.044059278,3430077.34096372,64434.1126713313,0,139662.629443971,344887.871446274,5768794.00550192,226938.915323303,0,524675.321711446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16331620.9,3811312.68115677,643051.469128373,179396.820803329,0,6321.9613868745,904.379159363647,0,13475.9017721344,0,558739.155901223,0,445500.309033219,173448.044059278,3430077.34096372,64434.1126713313,0,139662.629443971,344887.871446274,5768794.00550192,226938.915323303,0,524675.321711446,0,0,0,16331620.9194625,0,16331620.9,100
"48","Kenya","Homa Bay","Kasipul",1160752.54800771,193383.254095014,0,0,1658.7494163543,0,0,0,0,74822.4391318914,0,155380.683384004,0,815446.670604128,7683.13721435456,0,13832.3714717646,100128.635141563,329730.854231991,63637.2244497714,0,92306.5971048827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392996.72829094,477488.624278461,0,0,1782.66203469099,0,0,0,0,87765.0476968555,0,141906.525339765,0,1696925.7565309,9771.14036657947,0,18372.7693018206,301348.757150748,391197.02483324,180100.988610203,0,65205.8559548351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8773625,3553749.27629865,670871.878373475,0,0,3441.41145104529,0,0,0,0,162587.486828747,0,297287.20872377,0,2512372.42713502,17454.277580934,0,32205.1407735852,401477.39229231,720927.879065231,243738.213059974,0,157512.453059718,0,3008763.16425343,0,5764861.88038904,0,8773625,100
"50","Kenya","Homa Bay","Ndhiwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8846251.2261507,1109710.74906428,0,0,0,0,0,0,0,113840.01852738,0,13408.7192664064,0,3937250.92453801,98188.3200892263,0,1302.77589196998,1221316.9871387,6371449.37468679,54178.7827302701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21766897.9,8846251.2261507,1109710.74906428,0,0,0,0,0,0,0,113840.01852738,0,13408.7192664064,0,3937250.92453801,98188.3200892263,0,1302.77589196998,1221316.9871387,6371449.37468679,54178.7827302701,0,0,0,0,0,21766897.8780837,0,21766897.9,100
"61","Kenya","Kakamega","Butere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4436878.09409454,281299.235557084,2245148.33739085,0,0,0,0,0,0,17301.4408079447,0,312.034509851664,2963277.55381687,389657.675634087,40760.9397911295,0,13791.4374071083,90123.301135716,3548746.15430692,315.903702076105,0,0,6884.22562966473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14034496.3,4436878.09409454,281299.235557084,2245148.33739085,0,0,0,0,0,0,17301.4408079447,0,312.034509851664,2963277.55381687,389657.675634087,40760.9397911295,0,13791.4374071083,90123.301135716,3548746.15430692,315.903702076105,0,0,6884.22562966473,0,0,14034496.3337838,0,14034496.3,100
